source,target,community_source,community_target
1,3,0,0
1,2,0,1
1,4,0,0
1,5,0,0
1,6,0,0
1,7,0,0
1,2,0,1
2,3,1,0
3,4,0,0
3,5,0,0
3,6,0,0
3,7,0,0
2,8,1,1
2,9,1,1
2,10,1,1
2,11,1,1
2,12,1,1
2,13,1,1
2,14,1,1
2,15,1,1
2,16,1,1
2,17,1,1
2,18,1,1
2,19,1,1
2,20,1,1
2,21,1,1
2,22,1,1
2,23,1,1
2,24,1,1
2,25,1,1
4,26,0,2
2,27,1,1
2,28,1,0
2,29,1,1
2,30,1,0
2,31,1,1
2,32,1,1
2,33,1,1
2,34,1,3
9,10,1,1
9,35,1,1
10,35,1,1
11,12,1,1
12,35,1,1
13,14,1,1
13,35,1,1
14,35,1,1
15,16,1,1
15,35,1,1
16,35,1,1
17,18,1,1
17,35,1,1
18,35,1,1
19,20,1,1
19,35,1,1
20,35,1,1
21,22,1,1
21,35,1,1
22,35,1,1
23,24,1,1
23,35,1,1
24,35,1,1
25,27,1,1
25,35,1,1
28,30,0,0
28,36,0,0
5,28,0,0
28,37,0,0
7,28,0,0
30,36,0,0
5,30,0,0
30,37,0,0
7,30,0,0
29,31,1,1
31,35,1,1
32,33,1,1
33,35,1,1
33,38,1,2
33,39,1,2
33,40,1,2
33,41,1,2
11,35,1,1
27,35,1,1
32,35,1,1
32,38,1,2
32,39,1,2
32,40,1,2
32,41,1,2
2,32,1,1
29,35,1,1
35,42,1,4
35,44,1,4
35,45,1,5
35,46,1,5
35,47,1,5
35,48,1,5
35,49,1,6
35,50,1,6
35,52,1,5
35,53,1,7
35,55,1,7
35,56,1,5
35,57,1,3
35,59,1,5
35,60,1,5
35,61,1,5
35,62,1,3
35,63,1,1
35,64,1,3
35,65,1,5
42,43,4,4
50,51,6,6
53,54,7,7
57,58,3,3
35,66,1,8
35,67,1,8
35,69,1,5
35,70,1,5
35,71,1,5
35,72,1,6
35,73,1,9
35,75,1,10
35,76,1,10
35,78,1,1
35,79,1,5
35,80,1,2
35,81,1,2
35,83,1,5
35,84,1,5
35,85,1,5
35,86,1,1
35,87,1,6
35,88,1,9
35,90,1,9
67,68,8,8
73,74,9,9
76,77,10,10
81,82,2,2
88,89,9,9
35,91,1,6
35,93,1,5
35,94,1,6
35,95,1,5
35,96,1,6
35,98,1,5
35,99,1,10
35,100,1,5
35,101,1,10
35,103,1,11
35,104,1,11
35,106,1,10
35,107,1,1
35,108,1,10
35,110,1,10
35,112,1,10
35,113,1,5
35,114,1,9
35,116,1,9
35,117,1,1
91,92,6,6
96,97,6,6
101,102,10,10
104,105,11,11
108,109,10,10
110,111,10,10
114,115,9,9
35,118,1,1
35,119,1,0
35,121,1,1
35,123,1,5
35,124,1,12
35,125,1,0
35,126,1,12
35,128,1,13
35,129,1,1
35,130,1,1
35,131,1,13
35,132,1,1
35,134,1,1
35,136,1,1
35,137,1,1
35,139,1,5
35,140,1,1
35,142,1,1
35,143,1,1
35,145,1,1
42,44,4,4
42,43,4,4
43,44,4,4
45,147,5,5
45,148,5,5
45,149,5,5
45,150,5,5
45,151,5,5
45,152,5,5
46,153,5,5
46,154,5,5
46,149,5,5
46,150,5,5
46,151,5,5
46,152,5,5
47,155,5,5
47,156,5,5
47,149,5,5
